Time Step,Time,EVAPOTRANS,sloth_ice_fraction_schaake,sloth_ice_fraction_xinan,sloth_smp
331,2017-01-14 19:00:00,0.000000,0.000000,0.000000,0.000000
332,2017-01-14 20:00:00,0.000000,0.000000,0.000000,0.000000
333,2017-01-14 21:00:00,0.000000,0.000000,0.000000,0.000000
334,2017-01-14 22:00:00,0.000000,0.000000,0.000000,0.000000
335,2017-01-14 23:00:00,0.000000,0.000000,0.000000,0.000000
336,2017-01-15 00:00:00,0.000000,0.000000,0.000000,0.000000
337,2017-01-15 01:00:00,0.000000,0.000000,0.000000,0.000000
338,2017-01-15 02:00:00,0.000000,0.000000,0.000000,0.000000
339,2017-01-15 03:00:00,0.000000,0.000000,0.000000,0.000000
340,2017-01-15 04:00:00,0.000000,0.000000,0.000000,0.000000
341,2017-01-15 05:00:00,0.000000,0.000000,0.000000,0.000000
342,2017-01-15 06:00:00,0.000000,0.000000,0.000000,0.000000
343,2017-01-15 07:00:00,0.000000,0.000000,0.000000,0.000000
344,2017-01-15 08:00:00,0.000000,0.000000,0.000000,0.000000
345,2017-01-15 09:00:00,0.000000,0.000000,0.000000,0.000000
346,2017-01-15 10:00:00,0.000000,0.000000,0.000000,0.000000
347,2017-01-15 11:00:00,0.000000,0.000000,0.000000,0.000000
348,2017-01-15 12:00:00,0.000000,0.000000,0.000000,0.000000
349,2017-01-15 13:00:00,0.000000,0.000000,0.000000,0.000000
350,2017-01-15 14:00:00,0.000000,0.000000,0.000000,0.000000
351,2017-01-15 15:00:00,0.000000,0.000000,0.000000,0.000000
352,2017-01-15 16:00:00,0.000000,0.000000,0.000000,0.000000
353,2017-01-15 17:00:00,0.000000,0.000000,0.000000,0.000000
354,2017-01-15 18:00:00,0.000000,0.000000,0.000000,0.000000
355,2017-01-15 19:00:00,0.000000,0.000000,0.000000,0.000000
356,2017-01-15 20:00:00,0.000000,0.000000,0.000000,0.000000
357,2017-01-15 21:00:00,0.000000,0.000000,0.000000,0.000000
358,2017-01-15 22:00:00,0.000000,0.000000,0.000000,0.000000
359,2017-01-15 23:00:00,0.000000,0.000000,0.000000,0.000000
360,2017-01-16 00:00:00,0.000000,0.000000,0.000000,0.000000
361,2017-01-16 01:00:00,0.000000,0.000000,0.000000,0.000000
362,2017-01-16 02:00:00,0.000000,0.000000,0.000000,0.000000
363,2017-01-16 03:00:00,0.000000,0.000000,0.000000,0.000000
364,2017-01-16 04:00:00,0.000000,0.000000,0.000000,0.000000
365,2017-01-16 05:00:00,0.000000,0.000000,0.000000,0.000000
366,2017-01-16 06:00:00,0.000000,0.000000,0.000000,0.000000
367,2017-01-16 07:00:00,0.000000,0.000000,0.000000,0.000000
368,2017-01-16 08:00:00,0.000000,0.000000,0.000000,0.000000
369,2017-01-16 09:00:00,0.000000,0.000000,0.000000,0.000000
370,2017-01-16 10:00:00,0.000000,0.000000,0.000000,0.000000
371,2017-01-16 11:00:00,0.000000,0.000000,0.000000,0.000000
372,2017-01-16 12:00:00,0.000000,0.000000,0.000000,0.000000
373,2017-01-16 13:00:00,0.000000,0.000000,0.000000,0.000000
374,2017-01-16 14:00:00,0.000000,0.000000,0.000000,0.000000
375,2017-01-16 15:00:00,0.000000,0.000000,0.000000,0.000000
376,2017-01-16 16:00:00,0.000000,0.000000,0.000000,0.000000
377,2017-01-16 17:00:00,0.000000,0.000000,0.000000,0.000000
378,2017-01-16 18:00:00,0.000000,0.000000,0.000000,0.000000
379,2017-01-16 19:00:00,0.000000,0.000000,0.000000,0.000000
380,2017-01-16 20:00:00,0.000000,0.000000,0.000000,0.000000
381,2017-01-16 21:00:00,0.000000,0.000000,0.000000,0.000000
382,2017-01-16 22:00:00,0.000000,0.000000,0.000000,0.000000
383,2017-01-16 23:00:00,0.000000,0.000000,0.000000,0.000000
384,2017-01-17 00:00:00,0.000000,0.000000,0.000000,0.000000
385,2017-01-17 01:00:00,0.000000,0.000000,0.000000,0.000000
386,2017-01-17 02:00:00,0.000000,0.000000,0.000000,0.000000
387,2017-01-17 03:00:00,0.000000,0.000000,0.000000,0.000000
