,time,preci,pet
2016-01-11 17:00:00,2016-01-11 17:00:00,0.0,2.1020000000000002e-05
2016-01-11 18:00:00,2016-01-11 18:00:00,0.0,2.1020000000000002e-05
2016-01-11 19:00:00,2016-01-11 19:00:00,0.0,7.533333333333333e-05
2016-01-11 20:00:00,2016-01-11 20:00:00,0.0,7.533333333333333e-05
2016-01-11 21:00:00,2016-01-11 21:00:00,0.0,7.533333333333333e-05
2016-01-11 22:00:00,2016-01-11 22:00:00,0.0,7.374000000000001e-05
2016-01-11 23:00:00,2016-01-11 23:00:00,0.0,7.374000000000001e-05
2016-01-12 00:00:00,2016-01-12 00:00:00,0.0,7.374000000000001e-05
2016-01-12 01:00:00,2016-01-12 01:00:00,0.0,4.033333333333333e-06
2016-01-12 02:00:00,2016-01-12 02:00:00,0.0,4.033333333333333e-06
2016-01-12 03:00:00,2016-01-12 03:00:00,0.0,4.033333333333333e-06
2016-01-12 04:00:00,2016-01-12 04:00:00,0.0,-3.8466666666666665e-06
2016-01-12 05:00:00,2016-01-12 05:00:00,0.0,-3.8466666666666665e-06
2016-01-12 06:00:00,2016-01-12 06:00:00,0.0,-3.8466666666666665e-06
2016-01-12 07:00:00,2016-01-12 07:00:00,0.0,-5.326666666666666e-06
2016-01-12 08:00:00,2016-01-12 08:00:00,0.0,-5.326666666666666e-06
2016-01-12 09:00:00,2016-01-12 09:00:00,0.0,-5.326666666666666e-06
2016-01-12 10:00:00,2016-01-12 10:00:00,0.0,-6.206670666666667e-06
2016-01-12 11:00:00,2016-01-12 11:00:00,0.0,-6.206670666666667e-06
2016-01-12 12:00:00,2016-01-12 12:00:00,0.0,-6.206670666666667e-06
2016-01-12 13:00:00,2016-01-12 13:00:00,0.0,-5.633333333333335e-06
2016-01-12 14:00:00,2016-01-12 14:00:00,0.0,-5.633333333333335e-06
2016-01-12 15:00:00,2016-01-12 15:00:00,0.0,-5.633333333333335e-06
2016-01-12 16:00:00,2016-01-12 16:00:00,2.6133333333333334e-06,2.4766666666666664e-05
2016-01-12 17:00:00,2016-01-12 17:00:00,0.0,2.4766666666666664e-05
2016-01-12 18:00:00,2016-01-12 18:00:00,0.0,2.4766666666666664e-05
2016-01-12 19:00:00,2016-01-12 19:00:00,0.0,0.00011108666666666667
2016-01-12 20:00:00,2016-01-12 20:00:00,0.0,0.00011108666666666667
2016-01-12 21:00:00,2016-01-12 21:00:00,0.0,0.00011108666666666667
2016-01-12 22:00:00,2016-01-12 22:00:00,0.0,9.343333333333335e-05
